#specObjID,spiral,elliptical,petroMag_u,petroMag_g,petroMag_r,z
301825040192661504,0,1,18.23302,16.36605,15.53292,0.06491762
301826139704289280,1,0,18.68486,17.66699,17.18725,0.03541203
301826689460103168,1,0,19.60972,17.97474,17.2556,0.08697634
301828338727544832,1,0,19.37824,17.69823,16.8568,0.06881656
301829987994986496,1,0,20.35807,18.47926,17.53762,0.1319097
301832461896148992,1,0,19.39957,18.06169,17.36406,0.06193933
301834935797311488,0,1,18.45584,16.61984,15.64844,0.08773474
301836035308939264,1,0,18.76497,18.32333,17.31524,0.09146604
301836585064753152,1,0,17.59542,16.17404,15.54905,0.04619598
301837959454287872,1,0,19.05899,18.0058,17.38379,0.1647461
301839058965915648,1,0,19.12253,17.52934,16.43465,0.09344584
301839608721729536,1,0,19.46556,18.35636,17.48889,0.07758574
301844006768240640,1,0,18.22607,17.07793,16.46525,0.09211832
301846480669403136,1,0,19.19655,18.12348,17.30013,0.08910091
301847305303123968,1,0,19.43499,18.14137,17.33212,0.06572735
301848404814751744,1,0,19.24044,17.46072,16.54194,0.09600016
301848954570565632,0,1,17.67108,15.73663,14.8491,0.0650453
301849779204286464,0,1,18.26964,16.44225,15.61609,0.04720632
301851978227542016,1,0,18.9722,17.78274,17.27532,0.03853054
301855826518239232,1,0,19.8829,17.71859,17.02707,0.08058001
301856101396146176,0,1,18.10755,16.59713,15.77676,0.08670224
301856926029867008,1,0,18.68024,17.52649,17.06655,0.08633437
301857200907773952,1,0,19.23655,17.91959,17.2497,0.1255851
301857475785680896,1,0,20.17326,18.51875,17.37246,0.1699317
301858025541494784,1,0,19.0813,17.78382,16.96742,0.1369716
301858300419401728,1,0,18.81853,17.56664,16.97987,0.08850689
301859125053122560,1,0,19.2071,17.88245,17.0954,0.06538612
301860499442657280,1,0,19.41736,18.02005,17.41885,0.0651919
301860774320564224,1,0,18.69624,17.42801,16.81462,0.06574579
301861049198471168,1,0,20.35781,18.57045,17.74125,0.08284637
301864072855447552,1,0,19.85993,18.06678,17.13435,0.08662774
301864347733354496,1,0,18.12437,16.76187,16.12225,0.06204112
301864897489168384,0,1,18.35911,16.55844,15.63325,0.09729816
301865172367075328,1,0,21.01658,18.54687,17.69988,0.06422623
301867371390330880,0,1,20.3103,18.53322,17.16559,0.2185445
301868196024051712,1,0,18.11729,16.80399,16.09472,0.0814579
301868470901958656,1,0,19.81062,18.39079,17.43258,0.08138505
